date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2016-05-18,0,5150,0,0,0,0,0,0,0,0,0,0,1,0,-5762,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-05-19,0,0,0,0,0,0,0,0,0,0,1386,0,17216,0,-9878,0,0,-681,0,0,0,0,0,0,0,0,0,3,0
2016-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5200,0,0,0,0,0,0,0,0,0,0,0,0,13005,0
2016-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5336,0,0,0,0,0,0,0,0,0,0,0,0,13404,0
2016-05-24,0,0,0,0,0,0,0,0,0,0,0,0,6073,0,-7904,0,0,0,0,0,0,-1,0,0,0,0,-3038,17092,0
2016-05-25,0,0,0,0,0,0,0,0,0,0,0,0,6222,0,-7904,0,0,0,0,0,0,0,0,0,0,0,-3038,17092,0
2016-05-26,0,0,0,0,0,0,0,0,0,0,4143,0,1,0,-7164,0,0,0,0,0,0,0,0,0,0,0,-2631,1,0
2016-05-27,0,0,0,0,0,0,0,0,0,0,4174,0,2,0,-7164,0,0,0,0,0,0,0,0,0,0,0,-2631,0,0
2016-05-31,0,0,0,0,0,0,0,0,0,0,4206,0,1,0,-7164,0,0,0,0,0,0,0,0,0,0,0,-2631,0,0
2016-06-01,0,0,0,0,0,0,0,0,0,0,4230,0,1,0,-7164,0,0,0,0,0,0,0,0,0,0,0,-2631,1,0
2016-06-02,0,0,0,0,0,0,0,0,0,0,4223,0,1,0,-7164,0,0,0,0,0,0,0,0,0,0,0,-2631,0,0
2016-06-03,0,0,0,0,0,0,0,0,0,0,4185,0,2,0,-7164,0,0,0,0,0,0,0,0,0,0,0,-2631,0,0
2016-06-06,0,0,0,0,0,0,0,0,0,0,3530,0,0,0,-7164,0,0,0,0,0,0,0,0,0,0,0,-106,0,0
2016-06-07,0,0,0,0,0,0,0,0,0,0,3466,0,2,0,-7164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,0,0,0,0,0,0,0,0,0,0,3719,0,3,0,-7646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
